job_title,university,location,job_type,date
Faculty Positions in Computer Science and Engineering,Southern University of Science and Technology (SUSTech),Shenzhen  China,Computer Engineering,11/01/19
Assistant Professor  Computer Science (Computer and Network Security  1918),Idaho State University,Pocatello  ID,Computer Science,11/04/19
Visiting Instructor  Electrical and Computer Engineering,University of Central Florida,Orlando  FL,Computer Engineering,11/04/19
Adjunct Instructor - Software Development,Maryville University of Saint Louis,Online/Remote,Computer Engineering,11/04/19
Assistant Professor - ECE - 19/20,University of California  San Diego,La Jolla  CA,Computer Engineering,11/04/19
Two Full-Time Lecturer Positions  Dept of Informatics,University of California  Irvine,Irvine  CA,Computer Engineering,11/04/19
Assistant Professor – Electrical and Computer Engineering Technology,New Jersey Institute of Technology,Newark  NJ,Computer Engineering,11/01/19
Assistant Professor - Computer Technology / Medical Informatics Technology,New Jersey Institute of Technology,Newark  NJ,Computer Engineering,11/01/19
Postdoctoral Associate (Job Id: 38375),University of Louisville,Louisville  KY,Computer Engineering,11/01/19
Tenured/Tenure-Track: Open Rank & Title,Texas A&amp;M University,College Station  TX,Computer Engineering,11/01/19
Assistant/Associate Professor of Electrical and Computer Engineering,George Washington University,Washington  DC,Computer Engineering,11/01/19
Computer Aided Design (CAD) - Adjunct Faculty,Community College of Baltimore County,Baltimore  MD,Computer Engineering,11/01/19
Systems Security & Analysis Instructor,Fayetteville Technical Community College,Fayetteville  NC,Computer Engineering,10/31/19
Assistant Professor - Computer Science,Misericordia University,Dallas  PA,Computer Engineering,10/31/19
Postdoctoral Research Associate - Advanced FPGA development  embedded systems  and Machine Learning,Virginia Commonwealth University,Richmond  VA,Computer Engineering,10/31/19
Assistant Professor in Electrical and Computer Engineering,The University of Texas at Dallas,Dallas  TX,Computer Engineering,10/31/19
Professor of Cyber-Physical Systems,University of Virginia,Charlottesville  VA,Computer Engineering,10/31/19
Assistant Professor in Systems Engineering,The University of Texas at Dallas,Dallas  TX,Computer Engineering,10/31/19
Adjuncts - Electrical & Computer Engineering,Stevens Institute of Technology,Hoboken  NJ,Computer Engineering,10/31/19
Assistant Professor (Tenure Track) - Software Engineering (20-21),DePaul University,Chicago  IL,Computer Engineering,10/31/19
Lecturer in Computer Science,North Central College,Naperville  IL,Computer Science,10/30/19
Postdoctoral Scholar In Scientific Computation and Machine Learning,University of California  Santa Barbara,Santa Barbara  CA,Computer Engineering,10/30/19
Adjunct Assistant Professor  Department of Engineering Education  (College of Engineering),University of Cincinnati,Cincinnati  OH,Computer Engineering,10/30/19
LEO Intermittent Lecturer - ECE 3731,University of Michigan - Dearborn,Dearborn  MI,Computer Engineering,10/30/19
Assistant Professor in Electrical & Computer Engineering - Computer Engineering (F20),University of Michigan - Dearborn,Dearborn  MI,Computer Engineering,10/30/19
Part Time Lecturer,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Engineering,10/30/19
Assistant Professor -ECE,Stevens Institute of Technology,Hoboken  NJ,Computer Engineering,10/30/19
Professor (All Ranks) in Distributed Data and Computing,Arizona State University,Tempe  AZ,Computer Engineering,10/29/19
Scientific Programmer,University of North Carolina at Asheville,Asheville  NC,Computer Engineering,10/29/19
Assistant Professor,Worcester Polytechnic Institute,Worcester  MA,Computer Engineering,10/29/19
Adjunct Assistant Professor  Electrical Engineering and Computer Science  (College of Engineering),University of Cincinnati,Cincinnati  OH,Computer Engineering,10/29/19
Tenure-Track Assistant/Associate Professor Position in Computational Science and Engineering,Stevens Institute of Technology,Hoboken  NJ,Mechanical Engineering,10/28/19
Assistant/Associate Professor-Robotics,University of Massachusetts - Amherst,Amherst  MA,Computer Engineering,10/28/19
Postdoctoral Researcher (Research Administration),Prairie View A&amp;M University,Prairie View  TX,Computer Engineering,10/28/19
