job_title,university,location,job_type,date
Assistant Professor,California State University  Chico,Chico  CA,Computer Science,10/26/19
Faculty  Information & Communication Technology,Carl Sandburg College,Galesburg  IL,Computer Science,10/25/19
Instructor - Computer Science,Shelton State Community College,Tuscaloosa  AL,Computer Science,10/24/19
Assistant  Associate  or Full Professor (Cyber Systems),United States Coast Guard Academy,New London  CT,Computer Science,10/23/19
Tenure Track Assistant Professor of Computer Science,University of Detroit Mercy,Detroit  MI,Computer Science,10/18/19
Adjunct Faculty – Computer Science and Cybersecurity - Online / Distance-Learning,LeTourneau University,Online/Remote,Computer Science,10/08/19
Tenure-track Assistant Professor Position in Computer Science,University of Nebraska at Omaha,Omaha  NE,Computer Science,09/23/19
Lecturer – Computer Science,College of Staten Island,Staten Island  NY,Computer Science,10/31/19
Adjunct Faculty: Principles of Computer Science Online,Southern Maine Community College,South Portland  ME,Computer Science,10/30/19
Assistant/Associate Professor of Computer Science,Moravian College,Bethlehem  PA,Computer Science,10/30/19
Instructor/Assistant Professor Computer Science Tenure-Track,Concord University,Athens  WV,Computer Science,10/30/19
Assistant Professor of Cybersecurity,Chestnut Hill College,Philadelphia  PA,Information Systems and Technology,10/30/19
Assistant Professor – Immersive Media,Chatham University,Pittsburgh  PA,Digital Arts,10/30/19
Multiple Open Rank Tenure-Track Faculty Positions in the Department of Information Systems  University of Maryland  Baltimore County (UMBC),University of Maryland  Baltimore County,Baltimore  MD,Information Systems and Technology,10/30/19
Lecturer in Computer Science,North Central College,Naperville  IL,Computer Science,10/30/19
Adjunct Faculty - Computer Info. Systems & Cybersecurity Instructor,Holyoke Community College,Holyoke  MA,Information Systems and Technology,10/30/19
Part-Time Instructor - Cloud Management (IST615),Syracuse University,Syracuse  NY,Computer Science,10/30/19
Associate Professor - Cybersecurity - Computer Science & Information Systems,Texas A&amp;M University - Commerce,Commerce  TX,Computer Science,10/30/19
Assistant Professor-Computer Science & Information Systems,Texas A&amp;M University - Commerce,Commerce  TX,Computer Science,10/30/19
Postdoctoral Research Associate,Rochester Institute of Technology,Rochester  NY,Computer Science,10/30/19
Adjunct Faculty  Linux,Collin College,McKinney  TX,Computer Science,10/30/19
Adjunct Faculty  Cloud Computing Virtualization,Collin College,McKinney  TX,Computer Science,10/30/19
Adjunct Faculty  Cloud Computing,Collin College,McKinney  TX,Computer Science,10/30/19
Adjunct Faculty  Application Developer,Collin College,McKinney  TX,Computer Science,10/30/19
Assistant / Associate Professor - Computer Science,California State University  Fresno,Fresno  CA,Computer Science,10/30/19
Assistant / Associate Professor - Computer Science,Stanford University,Stanford  CA,Computer Science,10/30/19
Tenure Track Assistant Professor of Computer Science,University of New Hampshire,Durham  NH,Computer Science,10/30/19
Chair & Professor,Miami University,Oxford  OH,Computer Science,10/30/19
Professor (All Ranks) in Distributed Data and Computing,Arizona State University,Tempe  AZ,Computer Engineering,10/29/19
Assistant Professor of Computer Science and Information Technology,Frostburg State University,Frostburg  MD,Computer Science,10/29/19
Chair  Professor - Visual Communication and Technology Education,Bowling Green State University,Bowling Green  OH,Computer Science,10/29/19
Program Mentor  Cyber Security (Grad),Western Governors University,Online/Remote,Computer Science,10/29/19
Computer Science and Engineering: Assistant Teaching Professor in Electronic Design Automation (EDA) and Hardware (Open until filled; initial review 01/17/2020),University of California  Santa Cruz,Santa Cruz  CA,Computer Science,10/29/19
Open Rank Research Faculty Position in the Center for Research Computing,University of Notre Dame,Notre Dame  IN,Computer Science,10/29/19
Instructor  Geographic Information Systems (GIS),Portland Community College,Portland  OR,Computer Science,10/29/19
Associate Professor,Stevens Institute of Technology,Hoboken  NJ,Computer Science,10/29/19
Assistant Professor or Associate Professor Professor of Machine Learning,University of Wisconsin - Madison,Madison  WI,Computer Science,10/29/19
Part Time Teaching - Spring 2020,Rutgers  The State University of New Jersey,New Brunswick  NJ,Accounting,10/29/19
Course Director - Computer Science,Full Sail University,Winter Park  FL,Computer Science,10/29/19
Research Associate - Data Scientist,University of Colorado Denver,Aurora  CO,Laboratory and Research,10/29/19
Part-Time Adjunct Computer Information Technology Instructors (CIT),Iowa Western Community College,Council Bluffs  IA,Information Systems and Technology,10/28/19
Tenure Track Faculty Computer Science/Computer Information Systems,California University of Pennsylvania,California  PA,Computer Science,10/28/19
Adjunct Professor Computer Science - AIU Houston,AIU Houston,Houston  TX,Computer Science,10/28/19
Assistant Professor (Per annum or Assistant Professor of Practice) (#9),Marywood University,Scranton  PA,Computer Science,10/28/19
Assistant/Associate/Professor of Artificial Intelligence,University of Utah,Salt Lake City  UT,Computer Science,10/28/19
Endowed Statler Chair - Applied Artificial Intelligence,West Virginia University,Morgantown  WV,Computer Science,10/28/19
Computer and Data Science Faculty,Willamette University,Salem  OR,Computer Science,10/28/19
Lab Specialist - Game Design,Full Sail University,Winter Park  FL,Computer Science,10/28/19
Adjunct Faculty - Computer Science,Worcester Polytechnic Institute,Worcester  MA,Computer Science,10/28/19
Post Doctoral Fellow at Clemson University: Virtual Reality Systems,Clemson University,Clemson  SC,Computer Science,10/28/19
Assistant / Associate Professor  Computer Science,California State University  Fresno,Fresno  CA,Computer Science,10/28/19
Assistant/Associate Professor  Cybersecurity/Fellow  Pell Center,Salve Regina University,Newport  RI,Security Studies,10/28/19
Faculty (Open-Rank) of Cybersecurity,Columbus State University,Columbus  GA,Security Studies,10/28/19
Associate Professor/Professor of Cybersecurity,Columbus State University,Columbus  GA,Computer Science,10/28/19
Postdoctoral Research Associate - Bioinformatics,University of Virginia,Charlottesville  VA,Computer Science,10/28/19
FT/PT Lecturer/Sr. Lecturer - Informatics,University of Massachusetts - Amherst,Amherst  MA,Computer Science,10/28/19
FT/PT Lecturer/Sr. Lecturer - Computer Science,University of Massachusetts - Amherst,Amherst  MA,Computer Science,10/28/19
Part-time Lecturer-Computer Science,Rutgers  The State University of New Jersey,Camden  NJ,Computer Science,10/28/19
Assistant Professor  Data Science,University of Delaware,Newark  DE,Computer Science,10/28/19
Adjunct Faculty (Computer Science) - PAC - req6159,Alamo Colleges,San Antonio  TX,Computer Science,10/28/19
Assistant Professor - Journalism  Media and Computing - Computer Science,Creighton University,Omaha  NE,Computer Science,10/28/19
Adjunct Computer Science Instructor,College of the Mainland,Texas City  TX,Computer Science,10/28/19
Part Time Teaching -Spring 2020,Rutgers  The State University of New Jersey,New Brunswick  NJ,Computer Science,10/28/19
Adjunct Professor of Computer Science,Reinhardt University,Waleska  GA,Computer Science,10/28/19
Tenured Position (Associate or Full Professor) in Theory and Applications of Data-Driven Systems,University of California  Irvine,Irvine  CA,Computer Science,10/28/19
Assistant Professor  Bioinformatics,Spelman College,Atlanta  GA,Biology,10/28/19
*Online Adjunct Faculty - Game Design,Southern New Hampshire University,Manchester  NH,Computer Science,10/26/19
Director  Data Science Program,Loyola University Maryland,Baltimore  MD,Computer Science,10/25/19
Lecturer  #00075838,Missouri University of Science and Technology,Rolla  MO,Computer Science,10/25/19
Assistant Professor - Security Systems & Law Enforcement Technology (2 positions),Farmingdale State College,Farmingdale  NY,Security Studies,10/25/19
Assistant Professor of Software Engineering (Tenure-Track) - College of Arts and Sciences,Ashland University,Ashland  OH,Computer Engineering,10/25/19
Assistant/Associate/Full Professor of Computer Science,Palm Beach Atlantic University,West Palm Beach  FL,Computer Science,10/25/19
Assistant Professor of Cybersecurity,Westfield State University,Westfield  MA,Computer Science,10/25/19
Postdoctoral Fellowships in Computer Science,Harvard University,Cambridge  MA,Computer Science,10/25/19
Computer Applications Adjunct Instructor,West Georgia Technical College,Coweta  GA,Information Systems and Technology,10/24/19
Computer Applications Adjunct Instructor,West Georgia Technical College,Carrollton  GA,Information Systems and Technology,10/24/19
Computer Applications Adjunct Instructor,West Georgia Technical College,LaGrange  GA,Information Systems and Technology,10/24/19
Visiting Instructor or Visiting Assistant Professor of Computing & Information Sciences,Valparaiso University,Valparaiso  IN,Computer Science,10/24/19
Non-Tenure Track Positions --Lecturers  Postdocs  Visiting Assistant Professor,Fordham University,Manhattan  NY,Computer Science,10/24/19
Tenure Track Assistant Professor,Seattle University - Department of Computer Science &amp; Software Engineering,Seattle  WA,Computer Engineering,10/24/19
Assistant Professor of Computer Science,University of Vermont,Burlington  VT,Computer Science,10/24/19
PT Lecturer Mobile App Development Online,Northeastern University,Boston  MA,Computer Science,10/24/19
PT Lecturer Foundations of Software Engineering Online,Northeastern University,Boston  MA,Computer Science,10/24/19
Part-Time Lecturer Information Retrieval Online,Northeastern University,Boston  MA,Computer Science,10/24/19
Part-Time Lecturer Data Mining/Machine Learning Online,Northeastern University,Boston  MA,Computer Science,10/24/19
Postdoctoral Research Associate,Rochester Institute of Technology,Rochester  NY,Computer Science,10/24/19
Adjunct Instructor  Computer Science,University of Cincinnati,Cincinnati  OH,Computer Science,10/24/19
Faculty (Fall 2020) - Computer Information Technology/Cyber Defense,Pellissippi State Community College,Knoxville  TN,Information Systems and Technology,10/24/19
Tenure-Track/Instructional/Visiting Faculty and Post-Doc Postitions,The University of Iowa,Iowa City  IA,Computer Science,10/23/19
Assistant or Associate Professor (Tenure-Track)  Dept. of Computer Science,College of Charleston,Charleston  SC,Computer Science,10/23/19
Computer Science Instructor | Temporary Full-Time | I01414,Slippery Rock University,Slippery Rock  PA,Computer Science,10/23/19
Department Chair of the TSYS School of Computer Science At Columbus State University in Georgia,Columbus State University,Columbus  GA,Computer Science,10/23/19
Adjunct Faculty - Management Information Systems & Business Analytics,Colorado State University Global Campus,Online/Remote,Information Systems and Technology,10/23/19
